colony name,type,date,time,nest,workers,soldiers,brood,queen,winged queens,males
PW395,test,7/3/2023,4:30 pm,A,48,14,y,0,0,0
PW395,test,7/3/2023,4:30 pm,B,6,0,n,0,0,0
PW395,test,7/3/2023,4:30 pm,C,37,3,n,0,1,0
PW395,test,7/3/2023,4:30 pm,D,15,0,n,0,0,0
PW395,test,7/3/2023,4:30 pm,E,51,12,y,2,0,0
PW395,test,7/3/2023,4:30 pm,F,17,0,n,0,0,0
PW395,test,7/3/2023,4:30 pm,G,12,1,n,0,0,0
PW395,test,7/3/2023,4:30 pm,H,29,0,n,0,0,0
PW395,test,7/3/2023,4:30 pm,outside,241,7,n,0,0,0
PW399,control,7/6/2023,2:40 pm,A,89,8,y,4,0,1
PW399,control,7/6/2023,2:40 pm,B,23,1,n,0,0,0
PW399,control,7/6/2023,2:40 pm,C,50,0,n,0,0,0
PW399,control,7/6/2023,2:40 pm,D,7,0,n,1,0,0
PW399,control,7/6/2023,2:40 pm,dead,36,2,n,0,0,0
PW399,control,7/6/2023,2:40 pm,E,45,8,y,1,0,0
PW399,control,7/6/2023,2:40 pm,F,47,1,y,0,0,0
PW399,control,7/6/2023,2:40 pm,G,43,1,n,0,0,0
PW399,control,7/6/2023,2:40 pm,H,97,3,y,0,0,0
PW399,control,7/6/2023,2:40 pm,outside,258,9,n,3,0,0
PW437,treatment,7/7/2023,2:53 pm,A,30,1,y,0,0,0
PW437,treatment,7/7/2023,2:53 pm,B,16,0,n,0,0,0
PW437,treatment,7/7/2023,2:53 pm,C,43,2,n,0,0,0
PW437,treatment,7/7/2023,2:53 pm,D,40,1,n,0,0,0
PW437,treatment,7/7/2023,2:53 pm,dead,123,2,y,0,0,0
PW437,treatment,7/7/2023,2:53 pm,E,68,13,y,0,0,0
PW437,treatment,7/7/2023,2:53 pm,F,30,1,y,0,0,0
PW437,treatment,7/7/2023,2:53 pm,G,61,11,y,0,0,0
PW437,treatment,7/7/2023,2:53 pm,H,75,10,y,1,0,0
PW437,treatment,7/7/2023,2:53 pm,outside,326,14,n,5,0,0
PW398 (rascal),control,7/13/2023, 2:19 pm,B,0,0,n,0,0,0
PW398 (rascal),control,7/13/2023, 2:19 pm,D,0,0,n,0,0,0
PW398 (rascal),control,7/13/2023, 2:19 pm,C,1,0,n,0,0,0
PW398 (rascal),control,7/13/2023, 2:19 pm,G,6,0,n,0,0,0
PW398 (rascal),control,7/13/2023, 2:19 pm,H,19,0,n,0,0,0
PW398 (rascal),control,7/13/2023, 2:19 pm,F,16,0,n,1,0,0
PW398 (rascal),control,7/13/2023, 2:19 pm,A,82,0,y,1,0,0
PW398 (rascal),control,7/13/2023, 2:19 pm,E,65,2,y,3,0,0
PW398 (rascal),control,7/13/2023, 2:19 pm,outside,425,15,n,28,0,0
PW398 (rascal),control,7/13/2023, 2:19 pm,dead,52,9,n,4,0,0
PW400 (shawshank),treatment,7/14/2023, 2:45 pm,B,8,0,n,0,0,0
PW400 (shawshank),treatment,7/14/2023, 2:45 pm,C,36,3,n,0,0,0
PW400 (shawshank),treatment,7/14/2023, 2:45 pm,D,20,3,n,0,0,0
PW400 (shawshank),treatment,7/14/2023, 2:45 pm,F,27,1,y,0,0,0
PW400 (shawshank),treatment,7/14/2023, 2:45 pm,H,47,14,y,1,0,0
PW400 (shawshank),treatment,7/14/2023, 2:45 pm,G,49,14,y,1,0,0
PW400 (shawshank),treatment,7/14/2023, 2:45 pm,A,66,13,y,0,0,1
PW400 (shawshank),treatment,7/14/2023, 2:45 pm,E,38,8,y,0,0,0
PW400 (shawshank),treatment,7/14/2023, 2:45 pm,outside,250,21,n,1,0,0
PW400 (shawshank),treatment,7/14/2023, 2:45 pm,dead,54,4,n,0,0,0
PW399,treatment,7/20/2023,2:40 pm,A,10,10,y,10,10,10
PW399,treatment,7/20/2023,2:40 pm,B,10,10,n,10,10,10
PW399,treatment,7/20/2023,2:40 pm,C,10,10,n,10,10,10
PW399,treatment,7/20/2023,2:40 pm,D,10,10,n,10,10,10
PW399,treatment,7/20/2023,2:40 pm,dead,10,10,n,10,10,10
PW399,treatment,7/20/2023,2:40 pm,E,10,10,y,10,10,10
PW399,treatment,7/20/2023,2:40 pm,F,10,10,y,10,10,10
PW399,treatment,7/20/2023,2:40 pm,G,10,10,n,10,10,10
PW399,treatment,7/20/2023,2:40 pm,H,10,10,y,10,10,10
PW399,treatment,7/20/2023,2:40 pm,outside,10,10,n,10,10,10
